Player	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
Russell Westbrook	81	34.6	10.2	24	0.425	2.5	7.2	0.343	7.7	16.8	0.459	0.476	8.8	10.4	0.845	1.7	9	10.7	10.4	1.6	0.4	5.4	2.3	31.6
James Harden	81	36.4	8.3	18.9	0.44	3.2	9.3	0.347	5.1	9.6	0.53	0.525	9.2	10.9	0.847	1.2	7	8.1	11.2	1.5	0.5	5.7	2.7	29.1
Isaiah Thomas	76	33.8	9	19.4	0.463	3.2	8.5	0.379	5.8	10.9	0.528	0.546	7.8	8.5	0.909	0.6	2.1	2.7	5.9	0.9	0.2	2.8	2.2	28.9
Anthony Davis	75	36.1	10.3	20.3	0.505	0.5	1.8	0.299	9.7	18.6	0.524	0.518	6.9	8.6	0.802	2.3	9.5	11.8	2.1	1.3	2.2	2.4	2.2	28
DeMar DeRozan	74	35.4	9.7	20.9	0.467	0.4	1.7	0.266	9.3	19.2	0.484	0.477	7.4	8.7	0.842	0.9	4.3	5.2	3.9	1.1	0.2	2.4	1.8	27.3
DeMarcus Cousins	72	34.2	9	19.9	0.452	1.8	5	0.361	7.2	14.8	0.483	0.498	7.2	9.3	0.772	2.1	8.9	11	4.6	1.4	1.3	3.7	3.9	27
Damian Lillard	75	35.9	8.8	19.8	0.444	2.9	7.7	0.37	6	12.1	0.492	0.516	6.5	7.3	0.895	0.6	4.3	4.9	5.9	0.9	0.3	2.6	2	27
LeBron James	74	37.8	9.9	18.2	0.548	1.7	4.6	0.363	8.3	13.5	0.611	0.594	4.8	7.2	0.674	1.3	7.3	8.6	8.7	1.2	0.6	4.1	1.8	26.4
Kawhi Leonard	74	33.4	8.6	17.7	0.485	2	5.2	0.38	6.6	12.5	0.529	0.541	6.3	7.2	0.88	1.1	4.7	5.8	3.5	1.8	0.7	2.1	1.6	25.5
Stephen Curry	79	33.4	8.5	18.3	0.468	4.1	10	0.411	4.4	8.3	0.537	0.58	4.1	4.6	0.898	0.8	3.7	4.5	6.6	1.8	0.2	3	2.3	25.3
Kyrie Irving	72	35.1	9.3	19.7	0.473	2.5	6.1	0.401	6.9	13.6	0.505	0.535	4.1	4.6	0.905	0.7	2.5	3.2	5.8	1.2	0.3	2.5	2.2	25.2
Kevin Durant	62	33.4	8.9	16.5	0.537	1.9	5	0.375	7	11.5	0.608	0.594	5.4	6.2	0.875	0.6	7.6	8.3	4.8	1.1	1.6	2.2	1.9	25.1
Karl-Anthony Towns	82	37	9.8	18	0.542	1.2	3.4	0.367	8.5	14.7	0.582	0.576	4.3	5.2	0.832	3.6	8.7	12.3	2.7	0.7	1.3	2.6	2.9	25.1
Jimmy Butler	75	37	7.5	16.5	0.455	1.2	3.3	0.367	6.3	13.2	0.477	0.492	7.7	8.9	0.865	1.7	4.5	6.2	5.5	1.9	0.4	2.1	1.5	23.9
Paul George	75	35.9	8.3	18	0.461	2.6	6.6	0.393	5.7	11.4	0.501	0.534	4.5	5	0.898	0.8	5.8	6.6	3.3	1.6	0.4	2.9	2.7	23.7
Andrew Wiggins	82	37.2	8.6	19.1	0.452	1.3	3.5	0.356	7.4	15.6	0.473	0.484	5	6.6	0.76	1.2	2.8	4	2.3	1	0.4	2.3	2.2	23.6
Kemba Walker	79	34.7	8.1	18.3	0.444	3	7.6	0.399	5.1	10.7	0.476	0.527	3.8	4.5	0.847	0.6	3.3	3.9	5.5	1.1	0.3	2.1	1.5	23.2
Bradley Beal	77	34.9	8.3	17.2	0.482	2.9	7.2	0.404	5.4	10	0.538	0.566	3.7	4.4	0.825	0.7	2.4	3.1	3.5	1.1	0.3	2	2.2	23.1
John Wall	78	36.4	8.3	18.4	0.451	1.1	3.5	0.327	7.2	14.9	0.48	0.482	5.4	6.8	0.801	0.8	3.4	4.2	10.7	2	0.6	4.1	1.9	23.1
C.J. McCollum	80	35	8.7	18	0.48	2.3	5.5	0.421	6.3	12.5	0.506	0.544	3.4	3.7	0.912	0.8	2.9	3.6	3.6	0.9	0.5	2.2	2.5	23
Giannis Antetokounmpo	80	35.6	8.2	15.7	0.521	0.6	2.3	0.272	7.6	13.5	0.563	0.541	5.9	7.7	0.77	1.8	7	8.8	5.4	1.6	1.9	2.9	3.1	22.9
Carmelo Anthony	74	34.3	8.1	18.8	0.433	2	5.7	0.359	6.1	13.1	0.466	0.488	4.1	4.9	0.833	0.8	5.1	5.9	2.9	0.8	0.5	2.1	2.7	22.4
Kyle Lowry	60	37.4	7.1	15.3	0.464	3.2	7.8	0.412	3.9	7.5	0.518	0.569	5	6.1	0.819	0.8	4	4.8	7	1.5	0.3	2.9	2.8	22.4
Klay Thompson	78	34	8.3	17.6	0.468	3.4	8.3	0.414	4.8	9.3	0.516	0.565	2.4	2.8	0.853	0.6	3	3.7	2.1	0.8	0.5	1.6	1.8	22.3
Devin Booker	78	35	7.8	18.3	0.423	1.9	5.2	0.363	5.9	13.2	0.447	0.475	4.7	5.7	0.832	0.6	2.6	3.2	3.4	0.9	0.3	3.1	3.1	22.1
Gordon Hayward	73	34.5	7.5	15.8	0.471	2	5.1	0.398	5.4	10.7	0.506	0.536	5	5.9	0.844	0.7	4.7	5.4	3.5	1	0.3	1.9	1.6	21.9
Blake Griffin	61	34	7.9	15.9	0.493	0.6	1.9	0.336	7.2	14.1	0.514	0.513	5.2	6.9	0.76	1.8	6.3	8.1	4.9	0.9	0.4	2.3	2.6	21.6
Eric Bledsoe	66	33	6.8	15.7	0.434	1.6	4.7	0.335	5.2	11	0.477	0.485	5.9	6.9	0.847	0.8	4.1	4.8	6.3	1.4	0.5	3.4	2.5	21.1
Mike Conley	68	33.2	6.7	14.6	0.46	2.5	6.1	0.408	4.2	8.6	0.497	0.545	4.6	5.3	0.859	0.4	3	3.5	6.3	1.3	0.3	2.3	1.8	20.5
